,species,island,scaled_bill_length,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1,Adelie,Torgersen,2.545454545,39.1,18.7,181,3750,male,2007
2,Adelie,Torgersen,2.690909091,39.5,17.4,186,3800,female,2007
3,Adelie,Torgersen,2.981818182,40.3,18,195,3250,female,2007
4,Adelie,Torgersen,#VALUE!,NA,NA,NA,NA,NA,2007
5,Adelie,Torgersen,1.672727273,36.7,19.3,193,3450,female,2007
6,Adelie,Torgersen,2.618181818,39.3,20.6,190,3650,male,2007
7,Adelie,Torgersen,2.472727273,38.9,17.8,181,3625,female,2007
8,Adelie,Torgersen,2.581818182,39.2,19.6,195,4675,male,2007
9,Adelie,Torgersen,0.727272727,34.1,18.1,193,3475,NA,2007
10,Adelie,Torgersen,3.6,42,20.2,190,4250,NA,2007
11,Adelie,Torgersen,2.072727273,37.8,17.1,186,3300,NA,2007
12,Adelie,Torgersen,2.072727273,37.8,17.3,180,3700,NA,2007
13,Adelie,Torgersen,3.272727273,41.1,17.6,182,3200,female,2007
14,Adelie,Torgersen,2.363636364,38.6,21.2,191,3800,male,2007
15,Adelie,Torgersen,0.909090909,34.6,21.1,198,4400,male,2007
16,Adelie,Torgersen,1.636363636,36.6,17.8,185,3700,female,2007
17,Adelie,Torgersen,2.4,38.7,19,195,3450,female,2007
18,Adelie,Torgersen,3.781818182,42.5,20.7,197,4500,male,2007
19,Adelie,Torgersen,0.836363636,34.4,18.4,184,3325,female,2007
20,Adelie,Torgersen,5.054545455,46,21.5,194,4200,male,2007
21,Adelie,Biscoe,2.072727273,37.8,18.3,174,3400,female,2007
22,Adelie,Biscoe,2.036363636,37.7,18.7,180,3600,male,2007
23,Adelie,Biscoe,1.381818182,35.9,19.2,189,3800,female,2007
24,Adelie,Biscoe,2.218181818,38.2,18.1,185,3950,male,2007
25,Adelie,Biscoe,2.436363636,38.8,17.2,180,3800,male,2007
26,Adelie,Biscoe,1.163636364,35.3,18.9,187,3800,female,2007
27,Adelie,Biscoe,3.090909091,40.6,18.6,183,3550,male,2007
28,Adelie,Biscoe,3.054545455,40.5,17.9,187,3200,female,2007
29,Adelie,Biscoe,2.109090909,37.9,18.6,172,3150,female,2007
30,Adelie,Biscoe,3.054545455,40.5,18.9,180,3950,male,2007
31,Adelie,Dream,2.690909091,39.5,16.7,178,3250,female,2007
32,Adelie,Dream,1.854545455,37.2,18.1,178,3900,male,2007
33,Adelie,Dream,2.690909091,39.5,17.8,188,3300,female,2007
34,Adelie,Dream,3.2,40.9,18.9,184,3900,male,2007
35,Adelie,Dream,1.563636364,36.4,17,195,3325,female,2007
36,Adelie,Dream,2.581818182,39.2,21.1,196,4150,male,2007
37,Adelie,Dream,2.436363636,38.8,20,190,3950,male,2007
38,Adelie,Dream,3.672727273,42.2,18.5,180,3550,female,2007
39,Adelie,Dream,2,37.6,19.3,181,3300,female,2007
40,Adelie,Dream,2.8,39.8,19.1,184,4650,male,2007
41,Adelie,Dream,1.6,36.5,18,182,3150,female,2007
42,Adelie,Dream,3.163636364,40.8,18.4,195,3900,male,2007
43,Adelie,Dream,1.418181818,36,18.5,186,3100,female,2007
44,Adelie,Dream,4.363636364,44.1,19.7,196,4400,male,2007
45,Adelie,Dream,1.781818182,37,16.9,185,3000,female,2007
46,Adelie,Dream,2.727272727,39.6,18.8,190,4600,male,2007
47,Adelie,Dream,3.272727273,41.1,19,182,3425,male,2007
48,Adelie,Dream,1.963636364,37.5,18.9,179,2975,NA,2007
49,Adelie,Dream,1.418181818,36,17.9,190,3450,female,2007
50,Adelie,Dream,3.709090909,42.3,21.2,191,4150,male,2007
51,Adelie,Biscoe,2.727272727,39.6,17.7,186,3500,female,2008
52,Adelie,Biscoe,2.909090909,40.1,18.9,188,4300,male,2008
53,Adelie,Biscoe,1.054545455,35,17.9,190,3450,female,2008
54,Adelie,Biscoe,3.6,42,19.5,200,4050,male,2008
55,Adelie,Biscoe,0.872727273,34.5,18.1,187,2900,female,2008
56,Adelie,Biscoe,3.381818182,41.4,18.6,191,3700,male,2008
57,Adelie,Biscoe,2.509090909,39,17.5,186,3550,female,2008
58,Adelie,Biscoe,3.090909091,40.6,18.8,193,3800,male,2008
59,Adelie,Biscoe,1.6,36.5,16.6,181,2850,female,2008
60,Adelie,Biscoe,2,37.6,19.1,194,3750,male,2008
61,Adelie,Biscoe,1.309090909,35.7,16.9,185,3150,female,2008
62,Adelie,Biscoe,3.345454545,41.3,21.1,195,4400,male,2008
63,Adelie,Biscoe,2,37.6,17,185,3600,female,2008
64,Adelie,Biscoe,3.272727273,41.1,18.2,192,4050,male,2008
65,Adelie,Biscoe,1.563636364,36.4,17.1,184,2850,female,2008
66,Adelie,Biscoe,3.454545455,41.6,18,192,3950,male,2008
67,Adelie,Biscoe,1.236363636,35.5,16.2,195,3350,female,2008
68,Adelie,Biscoe,3.272727273,41.1,19.1,188,4100,male,2008
69,Adelie,Torgersen,1.381818182,35.9,16.6,190,3050,female,2008
70,Adelie,Torgersen,3.527272727,41.8,19.4,198,4450,male,2008
71,Adelie,Torgersen,0.509090909,33.5,19,190,3600,female,2008
72,Adelie,Torgersen,2.763636364,39.7,18.4,190,3900,male,2008
73,Adelie,Torgersen,2.727272727,39.6,17.2,196,3550,female,2008
74,Adelie,Torgersen,4.981818182,45.8,18.9,197,4150,male,2008
75,Adelie,Torgersen,1.236363636,35.5,17.5,190,3700,female,2008
76,Adelie,Torgersen,3.890909091,42.8,18.5,195,4250,male,2008
77,Adelie,Torgersen,3.2,40.9,16.8,191,3700,female,2008
78,Adelie,Torgersen,1.854545455,37.2,19.4,184,3900,male,2008
79,Adelie,Torgersen,1.490909091,36.2,16.1,187,3550,female,2008
80,Adelie,Torgersen,3.636363636,42.1,19.1,195,4000,male,2008
81,Adelie,Torgersen,0.909090909,34.6,17.2,189,3200,female,2008
82,Adelie,Torgersen,3.927272727,42.9,17.6,196,4700,male,2008
83,Adelie,Torgersen,1.672727273,36.7,18.8,187,3800,female,2008
84,Adelie,Torgersen,1.090909091,35.1,19.4,193,4200,male,2008
85,Adelie,Dream,1.890909091,37.3,17.8,191,3350,female,2008
86,Adelie,Dream,3.345454545,41.3,20.3,194,3550,male,2008
87,Adelie,Dream,1.527272727,36.3,19.5,190,3800,male,2008
88,Adelie,Dream,1.745454545,36.9,18.6,189,3500,female,2008
89,Adelie,Dream,2.254545455,38.3,19.2,189,3950,male,2008
90,Adelie,Dream,2.472727273,38.9,18.8,190,3600,female,2008
91,Adelie,Dream,1.309090909,35.7,18,202,3550,female,2008
92,Adelie,Dream,3.272727273,41.1,18.1,205,4300,male,2008
93,Adelie,Dream,0.690909091,34,17.1,185,3400,female,2008
94,Adelie,Dream,2.727272727,39.6,18.1,186,4450,male,2008
95,Adelie,Dream,1.490909091,36.2,17.3,187,3300,female,2008
96,Adelie,Dream,3.163636364,40.8,18.9,208,4300,male,2008
97,Adelie,Dream,2.181818182,38.1,18.6,190,3700,female,2008
98,Adelie,Dream,2.981818182,40.3,18.5,196,4350,male,2008
99,Adelie,Dream,0.363636364,33.1,16.1,178,2900,female,2008
100,Adelie,Dream,4.036363636,43.2,18.5,192,4100,male,2008
101,Adelie,Biscoe,1.054545455,35,17.9,192,3725,female,2009
102,Adelie,Biscoe,3.236363636,41,20,203,4725,male,2009
103,Adelie,Biscoe,2.036363636,37.7,16,183,3075,female,2009
104,Adelie,Biscoe,2.072727273,37.8,20,190,4250,male,2009
105,Adelie,Biscoe,2.109090909,37.9,18.6,193,2925,female,2009
106,Adelie,Biscoe,2.763636364,39.7,18.9,184,3550,male,2009
107,Adelie,Biscoe,2.363636364,38.6,17.2,199,3750,female,2009
108,Adelie,Biscoe,2.218181818,38.2,20,190,3900,male,2009
109,Adelie,Biscoe,2.181818182,38.1,17,181,3175,female,2009
